Date,Open,High,Low,MA5,MA20,MA73,Close
2015/8/28,1.124505,1.131,1.11567,1.1239466,1.1238414,1.105303274,1.124796
2015/8/31,1.121177,1.1264,1.11859,1.1215064,1.12349625,1.104818342,1.121403
2015/9/1,1.122599,1.133231,1.122536,1.1202658,1.1234347,1.10454974,1.122586
2015/9/2,1.129624,1.13,1.12229,1.1190276,1.12346055,1.10416926,1.129344
2015/9/3,1.121504,1.125,1.10897,1.1173062,1.12327305,1.103745288,1.121604
2015/9/4,1.112595,1.116,1.10946,1.1173994,1.12305315,1.103439753,1.112595
2015/9/7,1.115897,1.118001,1.11242,1.1206982,1.1233906,1.10317989,1.1152
2015/9/8,1.115897,1.123,1.115371,1.124539,1.1237656,1.102799795,1.116395
2015/9/9,1.1208,1.121,1.11332,1.1274122,1.12392185,1.102361644,1.120737
2015/9/10,1.121944,1.128,1.117489,1.1287008,1.12422495,1.101899384,1.12207
2015/9/11,1.128286,1.13422,1.12558,1.1301274,1.12432145,1.101477849,1.129089
2015/9/14,1.134404,1.13721,1.12877,1.1323286,1.1243017,1.101010904,1.134404
2015/9/15,1.131094,1.133003,1.12598,1.1312884,1.12443135,1.100415192,1.130761
2015/9/16,1.127294,1.13116,1.1215,1.128955,1.12467085,1.099952658,1.12718
2015/9/17,1.129395,1.134,1.128796,1.125934,1.12523675,1.09953374,1.129203
2015/9/18,1.140602,1.146,1.13517,1.1238922,1.1261542,1.099099808,1.140095
2015/9/21,1.129305,1.132999,1.118391,1.1194518,1.12599025,1.098451945,1.129203
2015/9/22,1.119094,1.121,1.11308,1.1176456,1.12633535,1.097961466,1.119094
2015/9/23,1.112199,1.11906,1.110679,1.1184474,1.1270257,1.097506836,1.112075
2015/9/24,1.118806,1.12961,1.11667,1.1211512,1.12819175,1.097141411,1.118994
2015/9/25,1.118118,1.120439,1.11183,1.1207936,1.1289822,1.096644986,1.117893
2015/9/28,1.120047,1.12414,1.11521,1.1210838,1.1284923,1.096060137,1.120172
2015/9/29,1.123356,1.12803,1.11948,1.1215894,1.1275856,1.095481068,1.123103
2015/9/30,1.125404,1.126202,1.1158,1.1208728,1.1267604,1.095063192,1.125594
2015/10/1,1.117156,1.121,1.113896,1.1211138,1.1256659,1.094631822,1.117206
2015/10/2,1.119495,1.13153,1.11518,1.1224726,1.1244504,1.094201603,1.119344
2015/10/5,1.122146,1.128799,1.119695,1.1243426,1.1234524,1.093722904,1.1227
2015/10/6,1.119796,1.128,1.117606,1.127202,1.12244725,1.093255795,1.11952
2015/10/7,1.127294,1.128426,1.121419,1.1304082,1.1215513,1.092795164,1.126799
2015/10/8,1.124202,1.13131,1.123974,1.132748,1.1200311,1.092318479,1.124
2015/10/9,1.128605,1.13787,1.127002,1.1374584,1.11817125,1.091845918,1.128694
2015/10/12,1.136906,1.14,1.13584,1.1390828,1.11615655,1.091333644,1.136997
2015/10/13,1.135396,1.141,1.1347,1.1389044,1.11297375,1.090658356,1.135551
2015/10/14,1.138511,1.145001,1.138511,1.1383744,1.10999375,1.089982329,1.138498
2015/10/15,1.1475,1.14942,1.13653,1.137754,1.10675665,1.089179644,1.147552
2015/10/16,1.136699,1.14,1.13394,1.1352042,1.103194,1.088326945,1.136816
2015/10/19,1.136002,1.138,1.130849,1.12946,1.1004283,1.08763763,1.136105
2015/10/20,1.133196,1.139,1.13258,1.1226466,1.097123,1.087016986,1.132901
2015/10/21,1.135602,1.1378,1.1338,1.1173862,1.0939179,1.086479945,1.135396
2015/10/22,1.1347,1.135203,1.1138,1.1110478,1.09036735,1.085756589,1.134803
2015/10/23,1.108402,1.114094,1.101103,1.1026664,1.08697705,1.085139123,1.108095
2015/10/26,1.102038,1.106,1.1006,1.1009242,1.0852031,1.084921438,1.102038
2015/10/27,1.106097,1.1078,1.1032,1.101036,1.08330625,1.085018205,1.106599
2015/10/28,1.103594,1.11,1.102706,1.1000364,1.08118645,1.085201726,1.103704
2015/10/29,1.092598,1.0982,1.091,1.0985746,1.0792205,1.085349671,1.092896
2015/10/30,1.099203,1.1072,1.096996,1.097356,1.0777005,1.085707,1.099384
2015/11/2,1.102499,1.106,1.100401,1.0951592,1.07575355,1.086112685,1.102597
2015/11/3,1.101698,1.1032,1.0938,1.089308,1.0735388,1.086461973,1.101601
2015/11/4,1.096503,1.096696,1.0848,1.084178,1.0713235,1.08687563,1.096395
2015/11/5,1.086602,1.09,1.083705,1.0796502,1.06963305,1.087234589,1.086803
2015/11/6,1.088495,1.089503,1.071168,1.0775494,1.06835795,1.087653808,1.0884
2015/11/9,1.073238,1.079,1.072996,1.0761698,1.06851775,1.088014123,1.073341
2015/11/10,1.075975,1.076276,1.0676,1.0755014,1.0692707,1.088547781,1.075951
2015/11/11,1.073802,1.077296,1.0708,1.074071,1.06964315,1.08902926,1.073756
2015/11/12,1.076496,1.08,1.0694,1.0721968,1.07042515,1.089558589,1.076299
2015/11/13,1.080894,1.081105,1.0722,1.0703364,1.07169995,1.089921658,1.081502
2015/11/16,1.070102,1.076,1.070102,1.0685592,1.0723654,1.090212123,1.069999
2015/11/17,1.068901,1.069198,1.064401,1.0673796,1.07378515,1.090642192,1.068799
2015/11/18,1.064396,1.0692,1.06323,1.0664604,1.0753102,1.091103836,1.064385
2015/11/19,1.067304,1.0734,1.067,1.0664604,1.0767722,1.091487534,1.066997
2015/11/20,1.072697,1.073001,1.066401,1.0655602,1.077795,1.091787548,1.072616
2015/11/23,1.064,1.0654,1.060299,1.063126,1.0783847,1.09199274,1.064101
2015/11/24,1.063898,1.067201,1.062383,1.0619662,1.07952925,1.092305014,1.064203
2015/11/25,1.064396,1.069,1.0576,1.0605846,1.080884,1.092725452,1.064385
2015/11/26,1.062496,1.063,1.0602,1.0602248,1.08241485,1.093205055,1.062496
2015/11/27,1.060445,1.0638,1.057,1.0599858,1.0838359,1.09374074,1.060445
2015/11/30,1.058302,1.059704,1.0564,1.066216,1.08566345,1.094288082,1.058302
2015/12/1,1.057295,1.064,1.056602,1.0722356,1.0875783,1.094844233,1.057295
2015/12/2,1.062699,1.064,1.056201,1.0774566,1.08958985,1.095673658,1.062586
2015/12/3,1.061199,1.0892,1.0542,1.0828186,1.0911006,1.096416233,1.061301
2015/12/4,1.091834,1.095194,1.0858,1.0909174,1.09270545,1.097086055,1.091596
2015/12/7,1.088305,1.088305,1.0798,1.0915604,1.09242095,1.097350507,1.0884
2015/12/8,1.0836,1.09,1.083142,1.0935592,1.0922709,1.097809329,1.0834
2015/12/9,1.089503,1.099,1.088198,1.0967392,1.09223865,1.098472315,1.089396
2015/12/10,1.101698,1.102305,1.092799,1.097585,1.0915288,1.098999822,1.101795
2015/12/11,1.094799,1.103,1.092801,1.0947166,1.09033405,1.099298452,1.094811
2015/12/14,1.098998,1.104,1.094703,1.0926364,1.0902234,1.099674973,1.098394
2015/12/15,1.099227,1.107,1.0922,1.090356,1.0900089,1.099944986,1.0993
2015/12/16,1.093601,1.0958,1.091322,1.0887556,1.0893339,1.10018463,1.093625
2015/12/17,1.087406,1.088898,1.083353,1.089031,1.0888726,1.100491096,1.087453
2015/12/18,1.084399,1.087,1.0806,1.0897238,1.08893,1.100940671,1.08441
2015/12/21,1.087016,1.092,1.0852,1.092241,1.0890042,1.101554274,1.086992
2015/12/22,1.091203,1.0984,1.090501,1.0941624,1.08925465,1.102190904,1.091298
2015/12/23,1.095002,1.095494,1.088495,1.095408,1.0891649,1.102830205,1.095002
2015/12/24,1.091,1.096696,1.091,1.0949678,1.0889797,1.103432973,1.090917
2015/12/25,1.096515,1.097502,1.094703,1.095464,1.0888189,1.104090274,1.096996
2015/12/28,1.096599,1.1,1.0958,1.093246,1.08827915,1.104654712,1.096599
2015/12/29,1.097695,1.1,1.091,1.091006,1.0874443,1.105256068,1.097526
2015/12/30,1.092801,1.095,1.091,1.0880518,1.08683325,1.10580226,1.092801
2015/12/31,1.093805,1.0939,1.0866,1.0845314,1.086518,1.106452973,1.093398
2016/1/1,1.085906,1.086697,1.085906,1.0814318,1.086388,1.107109055,1.085906
2016/1/4,1.085505,1.0946,1.0806,1.0827702,1.08677755,1.107829493,1.085399
2016/1/5,1.082603,1.084105,1.071201,1.0845112,1.08663715,1.108411753,1.082755
2016/1/6,1.075199,1.077203,1.0722,1.0851202,1.0869858,1.109017877,1.075199
2016/1/7,1.077795,1.0876,1.0774,1.0869602,1.08783605,1.109768507,1.0779
2016/1/8,1.092705,1.092896,1.080801,1.0891004,1.08939615,1.110494562,1.092598
2016/1/11,1.0939,1.094595,1.0852,1.0877596,1.09076605,1.111088603,1.094104
2016/1/12,1.085894,1.0902,1.0824,1.087339,1.09178605,1.11158726,1.0858
2016/1/13,1.084399,1.0884,1.0806,1.0880796,1.0934451,1.112181822,1.084399
2016/1/14,1.088803,1.095,1.083999,1.0894594,1.0956751,1.112716164,1.088601
2016/1/15,1.085776,1.0982,1.085776,1.0892794,1.0976498,1.113240808,1.085894
2016/1/18,1.091906,1.092705,1.0876,1.0893408,1.099945,1.113843699,1.092001
2016/1/19,1.089503,1.091,1.0862,1.086921,1.1014749,1.114403973,1.089503
2016/1/20,1.091155,1.0976,1.089289,1.0860814,1.10287005,1.115035288,1.091298
2016/1/21,1.087701,1.0922,1.0782,1.085121,1.1040403,1.115788781,1.087701
2016/1/22,1.086095,1.0864,1.079599,1.0857404,1.10527015,1.116676425,1.086201
2016/1/25,1.079902,1.085,1.079203,1.0872396,1.10651505,1.117555918,1.079902
2016/1/26,1.085376,1.088,1.082,1.0877774,1.1081398,1.118506658,1.085305
2016/1/27,1.086401,1.0912,1.085305,1.088662,1.1090147,1.119264151,1.086496
2016/1/28,1.090405,1.095,1.087,1.0898036,1.1098252,1.119980603,1.090798
2016/1/29,1.093697,1.094715,1.082,1.0934644,1.110355,1.120638123,1.093697
2016/2/1,1.082626,1.0912,1.082626,1.0987242,1.1107951,1.121237288,1.082591
2016/2/2,1.089895,1.094,1.089526,1.1051068,1.1112853,1.122060699,1.089728
2016/2/3,1.092204,1.1078,1.0906,1.1109574,1.1112438,1.122717781,1.092204
2016/2/4,1.109201,1.1238,1.1072,1.1183164,1.11101335,1.123258753,1.109102
2016/2/5,1.119996,1.121705,1.111,1.122115,1.1099031,1.123567027,1.119996
2016/2/8,1.114703,1.119,1.1088,1.1244754,1.10864805,1.123726068,1.114504
2016/2/9,1.119094,1.1314,1.1164,1.1260944,1.10789265,1.123832822,1.118981
2016/2/10,1.128999,1.130902,1.116632,1.1257794,1.10702365,1.123854986,1.128999
2016/2/11,1.128401,1.1368,1.1276,1.1229202,1.10559375,1.123761452,1.128095
2016/2/12,1.131734,1.133376,1.123,1.1197608,1.10413405,1.123672534,1.131798
2016/2/15,1.122599,1.123949,1.112999,1.115621,1.1034363,1.123425945,1.122599
2016/2/16,1.117818,1.1192,1.112999,1.1135806,1.10314605,1.123334137,1.117406
2016/2/17,1.114604,1.118001,1.1108,1.11066,1.10278565,1.123358808,1.114703
2016/2/18,1.112199,1.1152,1.1074,1.1082606,1.10259555,1.123308082,1.112298
2016/2/19,1.111,1.115,1.106799,1.1060798,1.10307535,1.123342904,1.111099
2016/2/22,1.112397,1.112496,1.1006,1.1043598,1.1041103,1.123377137,1.112397
2016/2/23,1.102706,1.105199,1.099199,1.1003594,1.10488565,1.123466301,1.102803
2016/2/24,1.102499,1.104,1.095999,1.0975784,1.10592525,1.123636123,1.102706
2016/2/25,1.101491,1.105,1.099199,1.0945562,1.1069048,1.124079877,1.101394
2016/2/26,1.102499,1.107,1.0926,1.0916568,1.10774035,1.124559438,1.102499
2016/2/29,1.092598,1.0962,1.0864,1.090136,1.1084551,1.125015384,1.092395
2016/3/1,1.088696,1.089401,1.083801,1.0915362,1.1096352,1.125677178,1.088898
2016/3/2,1.087701,1.088,1.0826,1.0940768,1.1112039,1.126260808,1.087595
2016/3/3,1.087004,1.0938,1.0856,1.096638,1.1132843,1.126759507,1.086897
2016/3/4,1.094799,1.104,1.0908,1.0990388,1.11561275,1.127337658,1.094895
2016/3/7,1.099396,1.099904,1.0942,1.1036284,1.11776635,1.127699397,1.099396
2016/3/8,1.101394,1.106,1.1006,1.107108,1.11974675,1.128067479,1.101601
2016/3/9,1.100195,1.101516,1.094799,1.1088274,1.1216117,1.128390767,1.100401
2016/3/10,1.098696,1.116,1.082767,1.1109274,1.12350165,1.128863438,1.098901
2016/3/11,1.117905,1.121001,1.108377,1.115526,1.1255815,1.129320932,1.117843
2016/3/14,1.116296,1.116801,1.1096,1.118317,1.12655925,1.129419822,1.116794
2016/3/15,1.110198,1.112999,1.1074,1.120539,1.1277347,1.129639411,1.110198
2016/3/16,1.111,1.111099,1.1058,1.1232184,1.1292894,1.129943548,1.110901
2016/3/17,1.121705,1.134404,1.1208,1.1254976,1.13066925,1.129843452,1.121894
2016/3/18,1.131542,1.133903,1.1258,1.1247398,1.13096975,1.129564123,1.131798
2016/3/21,1.127599,1.128999,1.1238,1.121739,1.13072995,1.129229836,1.127904
2016/3/22,1.123697,1.1262,1.119194,1.1193576,1.1308345,1.129023,1.123595
2016/3/23,1.122297,1.122297,1.1166,1.118693,1.13119985,1.128845055,1.122297
2016/3/24,1.118206,1.119,1.114964,1.1200742,1.13188315,1.128719096,1.118105
2016/3/25,1.116695,1.117706,1.115673,1.1231464,1.1325032,1.128671137,1.116794
2016/3/28,1.115997,1.121806,1.115536,1.127381,1.13312365,1.128530137,1.115997
2016/3/29,1.120097,1.1224,1.117,1.1319824,1.1334941,1.128446658,1.120272
2016/3/30,1.129012,1.1362,1.128796,1.135708,1.1338255,1.128259014,1.129203
2016/3/31,1.133401,1.141,1.1312,1.1375074,1.1338606,1.127919233,1.133466
2016/4/1,1.137902,1.1438,1.134198,1.1389138,1.13383235,1.127540288,1.137967
2016/4/4,1.139705,1.141201,1.136,1.1388,1.13371345,1.127106397,1.139004
2016/4/5,1.138706,1.140706,1.134,1.1390598,1.1340784,1.126702178,1.1389
2016/4/6,1.138097,1.1428,1.133144,1.1395382,1.13475835,1.126314575,1.1382
2016/4/7,1.139965,1.145305,1.134,1.1395978,1.13536855,1.125864082,1.140498
